source,company,location,team_size,url,linkedin_search
YC,Infer,"San Mateo, CA, USA; Bengaluru, KA, India",3,https://www.ycombinator.com/companies/infer,https://www.linkedin.com/search/results/people/?keywords=Infer%20founder
YC,Emerge Career,Remote,3,https://www.ycombinator.com/companies/emerge-career,https://www.linkedin.com/search/results/people/?keywords=Emerge%20Career%20founder
YC,Versable,"Los Angeles, CA, USA; Remote",3,https://www.ycombinator.com/companies/versable,https://www.linkedin.com/search/results/people/?keywords=Versable%20founder
YC,Livedocs,"San Francisco, CA, USA; Remote",3,https://www.ycombinator.com/companies/livedocs,https://www.linkedin.com/search/results/people/?keywords=Livedocs%20founder
YC,Reviving Mind,"Boston, MA, USA; Remote",3,https://www.ycombinator.com/companies/reviving-mind,https://www.linkedin.com/search/results/people/?keywords=Reviving%20Mind%20founder
YC,OpenBuilder,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/openbuilder,https://www.linkedin.com/search/results/people/?keywords=OpenBuilder%20founder
YC,Poly,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/poly,https://www.linkedin.com/search/results/people/?keywords=Poly%20founder
YC,Paragon AI,"San Francisco, CA, USA; San Juan, San Juan, Puerto Rico; Remote",3,https://www.ycombinator.com/companies/paragon-ai,https://www.linkedin.com/search/results/people/?keywords=Paragon%20AI%20founder
YC,Malama Health,"Stanford, CA, USA",3,https://www.ycombinator.com/companies/malama-health,https://www.linkedin.com/search/results/people/?keywords=Malama%20Health%20founder
YC,Hype,"New York, NY, USA",3,https://www.ycombinator.com/companies/hype,https://www.linkedin.com/search/results/people/?keywords=Hype%20founder
YC,100x,"Bengaluru, KA, India",3,https://www.ycombinator.com/companies/100x,https://www.linkedin.com/search/results/people/?keywords=100x%20founder
YC,Mintplex Labs,"Irvine, CA, USA; Remote",3,https://www.ycombinator.com/companies/mintplex-labs,https://www.linkedin.com/search/results/people/?keywords=Mintplex%20Labs%20founder
YC,Solum Health,,3,https://www.ycombinator.com/companies/solum-health,https://www.linkedin.com/search/results/people/?keywords=Solum%20Health%20founder
YC,LazyEditor,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/lazyeditor,https://www.linkedin.com/search/results/people/?keywords=LazyEditor%20founder
YC,Designbase,Remote,3,https://www.ycombinator.com/companies/designbase,https://www.linkedin.com/search/results/people/?keywords=Designbase%20founder
